"correct","time_1","double_response","time_2"
TRUE,0.6394,FALSE,NA
TRUE,1.0103,FALSE,NA
TRUE,0.7619,FALSE,NA
TRUE,0.6189,FALSE,NA
TRUE,0.4474,FALSE,NA
TRUE,0.5988,FALSE,NA
TRUE,0.499,FALSE,NA
TRUE,0.659,FALSE,NA
TRUE,0.7485,FALSE,NA
TRUE,0.6993,FALSE,NA
TRUE,0.5876,FALSE,NA
TRUE,0.5002,FALSE,NA
TRUE,0.8178,FALSE,NA
TRUE,0.9991,FALSE,NA
TRUE,0.6323,FALSE,NA
TRUE,0.6582,FALSE,NA
TRUE,0.5304,FALSE,NA
TRUE,0.4471,FALSE,NA
TRUE,0.592,FALSE,NA
TRUE,0.7625,FALSE,NA
TRUE,0.5945,FALSE,NA
TRUE,0.7608,FALSE,NA
TRUE,0.5328,FALSE,NA
TRUE,0.616,FALSE,NA
TRUE,0.8313,FALSE,NA
TRUE,0.7385,FALSE,NA
TRUE,0.5921,FALSE,NA
TRUE,0.4344,FALSE,NA
FALSE,0.6993,FALSE,NA
TRUE,0.4804,FALSE,NA
TRUE,0.7916,FALSE,NA
TRUE,0.7518,FALSE,NA
TRUE,1.1099,FALSE,NA
TRUE,0.6742,FALSE,NA
TRUE,0.6151,FALSE,NA
TRUE,0.6158,FALSE,NA
TRUE,0.8024,FALSE,NA
TRUE,0.5387,FALSE,NA
TRUE,0.6789,FALSE,NA
TRUE,0.5104,FALSE,NA
TRUE,0.6115,FALSE,NA
TRUE,0.7529,FALSE,NA
TRUE,0.558,FALSE,NA
TRUE,0.6376,FALSE,NA
FALSE,0.7527,FALSE,NA
TRUE,0.5528,FALSE,NA
TRUE,0.9388,FALSE,NA
TRUE,0.6874,FALSE,NA
TRUE,0.8154,FALSE,NA
TRUE,0.6813,FALSE,NA
TRUE,0.4666,FALSE,NA
TRUE,0.6738,FALSE,NA
FALSE,0.5255,FALSE,NA
FALSE,0.7097,FALSE,NA
TRUE,1.2172,FALSE,NA
TRUE,0.5495,FALSE,NA
TRUE,0.5328,FALSE,NA
TRUE,0.5383,FALSE,NA
TRUE,0.6008,FALSE,NA
TRUE,0.6548,FALSE,NA
TRUE,0.7797,FALSE,NA
TRUE,0.5823,FALSE,NA
FALSE,0.5338,FALSE,NA
TRUE,0.5789,FALSE,NA
TRUE,0.6219,FALSE,NA
TRUE,0.9925,FALSE,NA
TRUE,0.9187,FALSE,NA
TRUE,0.6678,FALSE,NA
TRUE,0.6522,FALSE,NA
TRUE,0.663,FALSE,NA
TRUE,0.51,FALSE,NA
TRUE,0.4677,FALSE,NA
TRUE,0.5316,FALSE,NA
TRUE,0.7358,FALSE,NA
TRUE,0.7554,FALSE,NA
TRUE,0.6605,FALSE,NA
TRUE,0.7152,FALSE,NA
TRUE,0.8999,FALSE,NA
TRUE,0.6013,FALSE,NA
TRUE,0.5967,FALSE,NA
TRUE,0.5701,FALSE,NA
TRUE,0.4844,FALSE,NA
TRUE,0.5589,FALSE,NA
TRUE,0.4466,FALSE,NA
TRUE,0.6728,FALSE,NA
TRUE,0.5216,FALSE,NA
TRUE,0.6713,FALSE,NA
TRUE,0.688,FALSE,NA
TRUE,0.5075,FALSE,NA
FALSE,0.8712,FALSE,NA
TRUE,0.7179,FALSE,NA
TRUE,0.8731,FALSE,NA
TRUE,0.6717,FALSE,NA
TRUE,0.7832,FALSE,NA
TRUE,0.8683,FALSE,NA
TRUE,0.8435,FALSE,NA
FALSE,0.643,FALSE,NA
TRUE,0.9578,FALSE,NA
TRUE,0.8665,FALSE,NA
TRUE,0.8137,FALSE,NA
TRUE,0.9473,FALSE,NA
TRUE,0.619,FALSE,NA
TRUE,0.6639,FALSE,NA
TRUE,0.8283,FALSE,NA
FALSE,0.731,FALSE,NA
TRUE,0.6763,FALSE,NA
TRUE,1.4596,FALSE,NA
TRUE,0.5104,FALSE,NA
TRUE,0.4449,FALSE,NA
TRUE,0.5577,FALSE,NA
TRUE,1.0795,FALSE,NA
TRUE,0.6943,FALSE,NA
TRUE,0.5963,FALSE,NA
TRUE,0.7426,FALSE,NA
TRUE,0.6528,FALSE,NA
TRUE,0.7927,FALSE,NA
TRUE,0.5665,FALSE,NA
TRUE,0.6042,FALSE,NA
TRUE,0.949,FALSE,NA
TRUE,0.4929,FALSE,NA
TRUE,0.8029,FALSE,NA
TRUE,0.6693,FALSE,NA
TRUE,0.4316,FALSE,NA
TRUE,0.5688,FALSE,NA
TRUE,0.8755,FALSE,NA
FALSE,1.1959,FALSE,NA
TRUE,1.0518,FALSE,NA
TRUE,0.7145,FALSE,NA
FALSE,0.6211,FALSE,NA
TRUE,1.0738,FALSE,NA
TRUE,0.6856,FALSE,NA
TRUE,0.6257,FALSE,NA
TRUE,0.7328,FALSE,NA
TRUE,0.4946,FALSE,NA
TRUE,0.523,FALSE,NA
TRUE,0.7158,FALSE,NA
TRUE,0.6097,FALSE,NA
TRUE,0.5636,FALSE,NA
TRUE,0.7976,FALSE,NA
TRUE,0.6431,FALSE,NA
TRUE,0.7398,FALSE,NA
TRUE,0.4454,FALSE,NA
TRUE,0.6013,FALSE,NA
TRUE,0.6241,FALSE,NA
FALSE,0.594,FALSE,NA
FALSE,0.6029,FALSE,NA
TRUE,1.1904,FALSE,NA
TRUE,1.4546,FALSE,NA
TRUE,0.8943,FALSE,NA
TRUE,0.4897,FALSE,NA
TRUE,0.6657,FALSE,NA
TRUE,0.7428,FALSE,NA
TRUE,0.7041,FALSE,NA
TRUE,1.1477,FALSE,NA
TRUE,0.6998,FALSE,NA
TRUE,0.8203,FALSE,NA
TRUE,0.5451,FALSE,NA
TRUE,0.9842,FALSE,NA
